Type;Antallyskilder;Watt;System;Levetid
T26 Konv;1;18;28;12000
T26 Konv;2;18;46;12000
T26 Konv;3;18;74;12000
T26 Konv;4;18;84;12000
T26 Konv;1;36;45;12000
T26 Konv;2;36;90;12000
T26 Konv;3;36;135;12000
T26 Konv;4;36;180;12000
T26 Konv;1;58;71;12000
T26 Konv;2;58;142;12000
T26 Konv;3;58;213;12000
T26 Konv;4;58;284;12000
T26 HF;1;18;19;12000
T26 HF;2;18;37;12000
T26 HF;3;18;54;12000
T26 HF;4;18;70;12000
T26 HF;1;36;36;12000
T26 HF;2;36;70;12000
T26 HF;3;36;106;12000
T26 HF;4;36;140;12000
T26 HF;1;58;56;12000
T26 HF;2;58;107;12000
T26 HF;3;58;163;12000
T26 HF;4;58;214;12000
T16 HF;1;14;16;19000
T16 HF;2;14;31;19000
T16 HF;3;14;47;19000
T16 HF;4;14;62;19000
T16 HF;1;21;24;19000
T16 HF;2;21;46;19000
T16 HF;3;21;70;19000
T16 HF;4;21;92;19000
T16 HF;1;24;26;19000
T16 HF;2;24;49;19000
T16 HF;3;24;76;19000
T16 HF;4;24;99;19000
T16 HF;1;28;30;19000
T16 HF;2;28;60;19000
T16 HF;3;28;90;19000
T16 HF;4;28;120;19000
T16 HF;1;35;38;19000
T16 HF;2;35;75;19000
T16 HF;3;35;113;19000
T16 HF;4;35;150;19000
T16 HF;1;39;41;19000
T16 HF;2;39;83;19000
T16 HF;3;39;124;19000
T16 HF;4;39;166;19000
T16 HF;1;49;53;19000
T16 HF;2;49;104;19000
T16 HF;3;49;157;19000
T16 HF;4;49;208;19000
T16 HF;1;54;58;19000
T16 HF;2;54;114;19000
T16 HF;3;54;172;19000
T16 HF;4;54;228;19000
T16 HF;1;80;86;19000
T16 HF;2;80;170;19000
T16 HF;3;80;256;19000
T16 HF;4;80;340;19000
T16 Long-life HF;1;28;31;48000
T16 Long-life HF;1;35;39;48000
T16 Long-life HF;1;49;54;48000
T16 Long-life HF;1;54;60;48000
T16 Long-life HF;2;28;62;48000
T16 Long-life HF;2;35;77;48000
T16 Long-life HF;2;49;106;48000
T16 Long-life HF;2;54;117;48000
T16 Long-life HF;3;28;93;48000
T16 Long-life HF;3;35;116;48000
T16 Long-life HF;3;49;160;48000
T16 Long-life HF;3;54;177;48000
T16 Long-life HF;4;28;124;48000
T16 Long-life HF;4;35;154;48000
T16 Long-life HF;4;49;212;48000
T16 Long-life HF;4;54;234;48000
T16 Long-life HF;1;13;15;20000
T16 Long-life HF;2;13;29;20000
T16 Long-life HF;3;13;44;20000
T16 Long-life HF;4;13;58;20000
T16 Long-life HF;1;20;23;20000
T16 Long-life HF;2;20;43;20000
T16 Long-life HF;3;20;66;20000
T16 Long-life HF;4;20;86;20000
T16 Long-life HF;1;25;27;20000
T16 Long-life HF;2;25;54;20000
T16 Long-life HF;3;25;81;20000
T16 Long-life HF;4;25;108;20000
T16 Long-life HF;1;32;34;20000
T16 Long-life HF;2;32;68;20000
T16 Long-life HF;3;32;102;20000
T16 Long-life HF;4;32;136;20000
T16 Long-life HF;1;45;49;20000
T16 Long-life HF;2;45;96;20000
T16 Long-life HF;3;45;145;20000
T16 Long-life HF;4;45;192;20000
T16 Long-life HF;1;50;53;20000
T16 Long-life HF;2;50;104;20000
T16 Long-life HF;3;50;157;20000
T16 Long-life HF;4;50;208;20000
T16 Long-life HF;1;73;80;20000
T16 Long-life HF;2;73;156;20000
T16 Long-life HF;3;73;236;20000
T16 Long-life HF;4;73;312;20000
T-R16 HF;1;22;25;16000
T-R16 HF;1;40;43;16000
T-R16 HF;1;55;60;16000
T-R16 HF;1;60;65;16000
TC-SEL HF;1;7;9;13000
TC-SEL HF;1;9;12;13000
TC-SEL HF;1;11;14;13000
TC-SEL HF;2;9;20;13000
TC-S Konv;1;7;11;10000
TC-S Konv;1;9;13;10000
TC-S Konv;1;11;15;10000
TC-S Konv;2;9;26;10000
TC-L Konv;1;18;24;15000
TC-L Konv;1;24;30;15000
TC-L Konv;1;36;42;15000
TC-L HF;1;18;18;20000
TC-L HF;1;24;26;20000
TC-L HF;1;36;35;20000
TC-L HF;1;40;45;20000
TC-L HF;1;55;59;20000
TC-L HF;1;80;86;20000
TC-L Konv;2;18;46;15000
TC-L Konv;2;24;60;15000
TC-L Konv;2;36;84;15000
TC-L HF;2;18;36;20000
TC-L HF;2;24;49;20000
TC-L HF;2;36;68;20000
TC-L HF;2;40;90;20000
TC-L HF;2;55;116;20000
TC-L HF;3;18;54;20000
TC-L HF;3;24;75;20000
TC-L HF;3;36;103;20000
TC-L HF;3;40;135;20000
TC-L HF;3;55;175;20000
TC-L HF;4;24;98;20000
TC-L HF;4;36;136;20000
TC-L HF;4;40;180;20000
TC-L HF;4;55;232;20000
TC-DD Konv;1;28;36;12000
TC-DDEL HF;1;38;45;12000
TC-DEL HF;1;10;12;13000
TC-DEL HF;1;13;15;13000
TC-DEL HF;1;18;19;13000
TC-DEL HF;1;26;27;13000
TC-DEL HF;2;10;23;13000
TC-DEL HF;2;13;28;13000
TC-DEL HF;2;18;36;13000
TC-DEL HF;2;26;51;13000
TC-D Konv;1;10;15;10000
TC-D Konv;1;13;18;10000
TC-D Konv;1;18;24;10000
TC-D Konv;1;26;34;10000
TC-D Konv;2;10;30;10000
TC-D Konv;2;13;34;10000
TC-D Konv;2;18;48;10000
TC-D Konv;2;26;68;10000
TC-TEL HF;1;13;15;19000
TC-TEL HF;1;18;19;13000
TC-TEL HF;1;26;27;13000
TC-TEL HF;1;32;32;13000
TC-TEL HF;1;42;44;13000
TC-TEL HF;1;57;59;13000
TC-TEL HF;2;18;36;13000
TC-TEL HF;2;26;51;13000
TC-TEL HF;2;32;64;13000
TC-TEL HF;2;42;85;13000
TC-TEL HF;4;32;128;13000
TC-TEL HF;1;14;16;19000
TC-TEL HF;1;17;19;19000
TC-TEL HF;2;14;32;19000
TC-TEL HF;2;17;38;19000
TC-T Konv;1;18;24;10000
TC-T Konv;1;26;34;10000
TC-T Konv;2;18;48;10000
TC-T Konv;2;26;68;10000
HIT-CRI G12;1;35;43;12000
HIT-CRI G12;1;70;79;12000
HIT-CRI G12;1;100;110;12000
HIT-CRI G12;1;150;160;12000
HIT-CRI G12;2;35;86;12000
HIT-CRI G12;2;70;158;12000
HIT-CRI G12;2;150;320;12000
HIT-CRI;1;35;43;12000
HIT-CRI;1;70;79;12000
HIT-DE;1;70;84;6000
HIT-DE;1;150;167;6000
HIT-DE;1;400;430;6000
HIT;1;400;430;12000
CDO-ET;1;70;83;12000
CDO-ET;1;100;110;12000
CDO-ET;1;250;273;12000
CDO-ET;1;400;430;12000
CDO-TT;1;70;79;12000
CDO-TT;1;100;115;12000
CDO-TT;1;250;273;12000
CDO-TT;1;400;430;12000
CPO-T;1;45;52;18000
CPO-T;1;60;65;18000
CPO-T;1;90;97;30000
CPO-T;1;140;154;30000
MR 111;1;35;43;7500
MR 111;1;70;79;7500
HST-CRI Mini;1;50;62;9000
HST-CRI Mini;1;100;110;9000
HST-CRI;1;50;62;9000
HST-CRI;1;100;110;9000
HST-DE;1;70;83;16000
HST-DE;1;150;164;16000
HST-DE;1;250;273;16000
HST-DE;1;400;428;16000
HSE-E;1;50;60;16000
HSE-E;1;70;83;16000
HSE-E;1;100;112;16000
HSE-E;1;150;167;16000
HSE-E;1;250;274;16000
HSE-E;1;400;430;16000
HSE-I;1;70;83;16000
HST-E;1;50;59;16000
HST-E;1;70;83;16000
HST-E;1;100;113;16000
HST-E;1;250;273;16000
HST-E;1;400;428;16000
HME;1;50;58;10000
HME;1;80;90;10000
HME;1;125;138;10000
HME;1;250;270;10000
HME;1;400;424;10000
MTm;1;20;25;12000
MTm;1;35;41;12000
QL;1;55;60;70000
QL;1;85;92;70000
A60;1;60;60;1000
A60;1;75;75;1000
A60;1;100;100;1000
A60;1;150;150;1000
QT-32;1;100;100;2000
QT-32;1;150;150;2000
QT-32;1;250;250;2000
QT-ax12;1;20;20;3000
QT-ax12;1;35;35;3000
QT-ax12;1;50;50;3000
QT-ax12;1;65;65;3000
QR-CBC51;1;20;20;4000
QR-CBC51;1;35;35;4000
QR-CBC51;1;50;50;4000
QR-CBC51;1;71;71;4000
